Variable QN: i, j, s
1000000, Acelga Fresca, 1, 1
0, Acelga Fresca, 1, 2
0, Acelga Fresca, 1, 3
0, Acelga Fresca, 1, 4
1000000, Acelga Fresca, 1, 5
0, Acelga Fresca, 1, 6
0, Acelga Fresca, 1, 7
0, Acelga Fresca, 1, 8
0, Acelga Fresca, 1, 9
0, Acelga Fresca, 1, 10
0, Acelga Fresca, 1, 11
0, Acelga Fresca, 1, 12
0, Acelga Fresca, 1, 13
0, Acelga Fresca, 1, 14
0, Acelga Fresca, 1, 15
0, Acelga Fresca, 1, 16
0, Acelga Fresca, 1, 17
0, Acelga Fresca, 1, 18
0, Acelga Fresca, 1, 19
0, Acelga Fresca, 2, 1
0, Acelga Fresca, 2, 2
0, Acelga Fresca, 2, 3
0, Acelga Fresca, 2, 4
0, Acelga Fresca, 2, 5
0, Acelga Fresca, 2, 6
0, Acelga Fresca, 2, 7
0, Acelga Fresca, 2, 8
0, Acelga Fresca, 2, 9
1000000, Acelga Fresca, 2, 10
64477, Acelga Fresca, 2, 11
0, Acelga Fresca, 2, 12
0, Acelga Fresca, 2, 13
0, Acelga Fresca, 2, 14
0, Acelga Fresca, 2, 15
0, Acelga Fresca, 2, 16
1000000, Acelga Fresca, 2, 17
0, Acelga Fresca, 2, 18
0, Acelga Fresca, 2, 19
0, Acelga Fresca, 3, 1
0, Acelga Fresca, 3, 2
64477, Acelga Fresca, 3, 3
0, Acelga Fresca, 3, 4
0, Acelga Fresca, 3, 5
0, Acelga Fresca, 3, 6
1000000, Acelga Fresca, 3, 7
0, Acelga Fresca, 3, 8
0, Acelga Fresca, 3, 9
1000000, Acelga Fresca, 3, 10
0, Acelga Fresca, 3, 11
0, Acelga Fresca, 3, 12
0, Acelga Fresca, 3, 13
0, Acelga Fresca, 3, 14
64477, Acelga Fresca, 3, 15
0, Acelga Fresca, 3, 16
0, Acelga Fresca, 3, 17
0, Acelga Fresca, 3, 18
0, Acelga Fresca, 3, 19
0, Acelga Fresca, 4, 1
0, Acelga Fresca, 4, 2
64477, Acelga Fresca, 4, 3
0, Acelga Fresca, 4, 4
0, Acelga Fresca, 4, 5
0, Acelga Fresca, 4, 6
0, Acelga Fresca, 4, 7
0, Acelga Fresca, 4, 8
0, Acelga Fresca, 4, 9
0, Acelga Fresca, 4, 10
0, Acelga Fresca, 4, 11
0, Acelga Fresca, 4, 12
799199, Acelga Fresca, 4, 13
0, Acelga Fresca, 4, 14
1000000, Acelga Fresca, 4, 15
0, Acelga Fresca, 4, 16
0, Acelga Fresca, 4, 17
0, Acelga Fresca, 4, 18
0, Acelga Fresca, 4, 19
0, Acelga Fresca, 5, 1
0, Acelga Fresca, 5, 2
0, Acelga Fresca, 5, 3
0, Acelga Fresca, 5, 4
1000000, Acelga Fresca, 5, 5
0, Acelga Fresca, 5, 6
0, Acelga Fresca, 5, 7
0, Acelga Fresca, 5, 8
0, Acelga Fresca, 5, 9
25786, Acelga Fresca, 5, 10
0, Acelga Fresca, 5, 11
0, Acelga Fresca, 5, 12
0, Acelga Fresca, 5, 13
0, Acelga Fresca, 5, 14
0, Acelga Fresca, 5, 15
799199, Acelga Fresca, 5, 16
1000000, Acelga Fresca, 5, 17
0, Acelga Fresca, 5, 18
0, Acelga Fresca, 5, 19
0, Acelga Fresca, 6, 1
0, Acelga Fresca, 6, 2
0, Acelga Fresca, 6, 3
0, Acelga Fresca, 6, 4
0, Acelga Fresca, 6, 5
1000000, Acelga Fresca, 6, 6
0, Acelga Fresca, 6, 7
0, Acelga Fresca, 6, 8
0, Acelga Fresca, 6, 9
0, Acelga Fresca, 6, 10
0, Acelga Fresca, 6, 11
0, Acelga Fresca, 6, 12
1000000, Acelga Fresca, 6, 13
0, Acelga Fresca, 6, 14
1000000, Acelga Fresca, 6, 15
0, Acelga Fresca, 6, 16
0, Acelga Fresca, 6, 17
0, Acelga Fresca, 6, 18
1000000, Acelga Fresca, 6, 19
0, Acelga Fresca, 7, 1
0, Acelga Fresca, 7, 2
0, Acelga Fresca, 7, 3
0, Acelga Fresca, 7, 4
0, Acelga Fresca, 7, 5
0, Acelga Fresca, 7, 6
0, Acelga Fresca, 7, 7
1000000, Acelga Fresca, 7, 8
0, Acelga Fresca, 7, 9
0, Acelga Fresca, 7, 10
1000000, Acelga Fresca, 7, 11
0, Acelga Fresca, 7, 12
1000000, Acelga Fresca, 7, 13
0, Acelga Fresca, 7, 14
1000000, Acelga Fresca, 7, 15
0, Acelga Fresca, 7, 16
0, Acelga Fresca, 7, 17
0, Acelga Fresca, 7, 18
0, Acelga Fresca, 7, 19
0, Acelga Fresca, 8, 1
0, Acelga Fresca, 8, 2
0, Acelga Fresca, 8, 3
0, Acelga Fresca, 8, 4
0, Acelga Fresca, 8, 5
0, Acelga Fresca, 8, 6
64477, Acelga Fresca, 8, 7
1000000, Acelga Fresca, 8, 8
0, Acelga Fresca, 8, 9
64477, Acelga Fresca, 8, 10
0, Acelga Fresca, 8, 11
0, Acelga Fresca, 8, 12
2000000, Acelga Fresca, 8, 13
